iid,id,gender,wave,pid,match,int_corr,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,race,imprace,income,goal,date,go_out,career,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,date_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3
134,3,0,6,140,0,-0.09,29,2,18.60,16.28,18.60,18.60,11.63,16.28,0,6.50,8.00,7.50,7.00,7.00,,6.50,7.00,2,23,marine geophysics,10.00,,2,8,48,929.00,1,5,3,professor,6,20.51,15.38,12.82,20.51,12.82,17.95,7,8,8,8,8,,,,,,1,8.00,9.00,9.00,9.00,10.00,7.00,8.00,9.00,2,1.00,6.67,22.22,20.00,17.78,17.78,15.56,7.00,9.00,8.00,7,9,6,,,,,,,10.00,18.00,18.00,18.00,18.00,18.00,8,9,7,8,7,5,22.50,17.50,12.50,20.00,12.50,15.00,7,8,9,7,9,,,,,0,9.52,19.05,19.05,19.05,19.05,14.29,,,,,,,7,8,6,8,6,7,8,7,4,8,5,,7,8,8,7,8,,,,
134,3,0,6,141,0,-0.10,28,3,20.83,20.83,16.67,16.67,6.25,18.75,1,7.00,8.00,8.00,7.00,6.00,5.00,7.00,7.00,2,23,marine geophysics,10.00,,2,8,48,929.00,1,5,3,professor,6,20.51,15.38,12.82,20.51,12.82,17.95,7,8,8,8,8,,,,,,0,6.00,5.00,6.00,5.00,6.00,4.00,5.00,2.00,2,1.00,6.67,22.22,20.00,17.78,17.78,15.56,7.00,9.00,8.00,7,9,6,,,,,,,10.00,18.00,18.00,18.00,18.00,18.00,8,9,7,8,7,5,22.50,17.50,12.50,20.00,12.50,15.00,7,8,9,7,9,,,,,0,9.52,19.05,19.05,19.05,19.05,14.29,,,,,,,7,8,6,8,6,7,8,7,4,8,5,,7,8,8,7,8,,,,
135,5,0,6,137,0,-0.10,26,4,17.39,17.39,15.22,17.39,13.04,19.57,1,7.00,8.00,8.00,7.00,7.00,6.00,7.00,6.00,2,26,theory,3.00,,2,9,,1,7,2,teaching,7,18.75,16.67,14.58,18.75,18.75,12.50,9,10,7,9,6,,,,,,0,8.00,5.00,,,,5.00,6.00,6.00,2,2.00,18.18,22.73,18.18,13.64,13.64,13.64,8.00,10.00,5.00,7,5,6,,,,,,,17.78,22.22,20.00,13.33,13.33,13.33,8,8,8,9,9,8,19.57,15.22,15.22,19.57,15.22,15.22,8,10,9,6,6,,,,,1,17.02,21.28,19.15,14.89,12.77,14.89,,,,,,,8,7,8,9,8,7,9,7,7,8,7,,8,9,9,7,5,,,,,
135,5,0,6,138,0,-0.30,32,2,20.00,20.00,20.00,20.00,6.67,13.33,0,4.00,6.00,6.00,1.00,7.00,1.00,1.00,8.00,2,26,theory,3.00,,2,9,,1,7,2,teaching,7,18.75,16.67,14.58,18.75,18.75,12.50,9,10,7,9,6,,,,,,1,8.00,8.00,8.00,,,2.00,7.00,6.00,2,2.00,18.18,22.73,18.18,13.64,13.64,13.64,8.00,10.00,5.00,7,5,6,,,,,,,17.78,22.22,20.00,13.33,13.33,13.33,8,8,8,9,9,8,19.57,15.22,15.22,19.57,15.22,15.22,8,10,9,6,6,,,,,1,17.02,21.28,19.15,14.89,12.77,14.89,,,,,,,8,7,8,9,8,7,9,7,7,8,7,,8,9,9,7,5,,,,,
135,5,0,6,139,0,0.28,37,4,18.75,16.67,18.75,20.83,12.50,12.50,0,6.00,,,6.00,5.00,,6.00,7.00,2,26,theory,3.00,,2,9,,1,7,2,teaching,7,18.75,16.67,14.58,18.75,18.75,12.50,9,10,7,9,6,,,,,,1,7.00,8.00,,8.00,4.00,6.00,6.00,,2,2.00,18.18,22.73,18.18,13.64,13.64,13.64,8.00,10.00,5.00,7,5,6,,,,,,,17.78,22.22,20.00,13.33,13.33,13.33,8,8,8,9,9,8,19.57,15.22,15.22,19.57,15.22,15.22,8,10,9,6,6,,,,,1,17.02,21.28,19.15,14.89,12.77,14.89,,,,,,,8,7,8,9,8,7,9,7,7,8,7,,8,9,9,7,5,,,,,
135,5,0,6,140,1,-0.34,29,2,18.60,16.28,18.60,18.60,11.63,16.28,1,6.50,8.00,8.00,7.00,7.00,7.00,7.00,7.00,2,26,theory,3.00,,2,9,,1,7,2,teaching,7,18.75,16.67,14.58,18.75,18.75,12.50,9,10,7,9,6,,,,,,1,8.00,8.00,8.00,8.00,,,8.00,7.00,2,2.00,18.18,22.73,18.18,13.64,13.64,13.64,8.00,10.00,5.00,7,5,6,,,,,,,17.78,22.22,20.00,13.33,13.33,13.33,8,8,8,9,9,8,19.57,15.22,15.22,19.57,15.22,15.22,8,10,9,6,6,,,,,1,17.02,21.28,19.15,14.89,12.77,14.89,,,,,,,8,7,8,9,8,7,9,7,7,8,7,,8,9,9,7,5,,,,,
135,5,0,6,141,1,-0.01,28,3,20.83,20.83,16.67,16.67,6.25,18.75,1,8.00,9.00,8.00,8.00,6.00,5.00,8.00,8.00,2,26,theory,3.00,,2,9,,1,7,2,teaching,7,18.75,16.67,14.58,18.75,18.75,12.50,9,10,7,9,6,,,,,,1,7.00,,,8.00,8.00,,6.00,5.00,2,2.00,18.18,22.73,18.18,13.64,13.64,13.64,8.00,10.00,5.00,7,5,6,,,,,,,17.78,22.22,20.00,13.33,13.33,13.33,8,8,8,9,9,8,19.57,15.22,15.22,19.57,15.22,15.22,8,10,9,6,6,,,,,1,17.02,21.28,19.15,14.89,12.77,14.89,,,,,,,8,7,8,9,8,7,9,7,7,8,7,,8,9,9,7,5,,,,,
136,6,0,6,137,0,,26,4,17.39,17.39,15.22,17.39,13.04,19.57,1,6.00,8.00,9.00,7.00,9.00,6.00,8.00,6.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8.00,8.00,8.00,8.00,8.00,8.00,8.00,1.00,2,0.00,12.96,14.81,18.52,18.52,18.52,16.67,7.00,9.00,10.00,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12.96,18.52,18.52,18.52,18.52,12.96,,,,,,,10,10,10,10,10,6,10,10,8,10,6,,9,12,12,12,12,,,,,
136,6,0,6,138,1,,32,2,20.00,20.00,20.00,20.00,6.67,13.33,1,7.00,8.00,10.00,9.00,9.00,8.00,9.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,1,0.00,12.96,14.81,18.52,18.52,18.52,16.67,7.00,9.00,10.00,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12.96,18.52,18.52,18.52,18.52,12.96,,,,,,,10,10,10,10,10,6,10,10,8,10,6,,9,12,12,12,12,,,,,
136,6,0,6,139,0,,37,4,18.75,16.67,18.75,20.83,12.50,12.50,1,8.00,8.00,,8.00,8.00,,8.00,8.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.00,8.00,8.00,5.00,8.00,1.00,5.00,1.00,2,0.00,12.96,14.81,18.52,18.52,18.52,16.67,7.00,9.00,10.00,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12.96,18.52,18.52,18.52,18.52,12.96,,,,,,,10,10,10,10,10,6,10,10,8,10,6,,9,12,12,12,12,,,,,
136,6,0,6,140,0,,29,2,18.60,16.28,18.60,18.60,11.63,16.28,0,5.00,5.00,6.00,8.00,6.00,8.00,6.50,7.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8.00,8.00,8.00,8.00,8.00,8.00,8.00,1.00,1,0.00,12.96,14.81,18.52,18.52,18.52,16.67,7.00,9.00,10.00,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12.96,18.52,18.52,18.52,18.52,12.96,,,,,,,10,10,10,10,10,6,10,10,8,10,6,,9,12,12,12,12,,,,,
136,6,0,6,141,0,,28,3,20.83,20.83,16.67,16.67,6.25,18.75,0,3.00,7.00,8.00,4.00,8.00,4.00,4.00,7.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.00,8.00,8.00,8.00,8.00,8.00,8.00,1.00,1,0.00,12.96,14.81,18.52,18.52,18.52,16.67,7.00,9.00,10.00,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12.96,18.52,18.52,18.52,18.52,12.96,,,,,,,10,10,10,10,10,6,10,10,8,10,6,,9,12,12,12,12,,,,,
137,1,1,6,132,0,0.16,27,2,16.67,16.67,16.67,16.67,16.67,16.67,0,7.00,9.00,7.00,9.00,6.00,9.00,8.00,7.00,1,26,Business,8.00,,4,1,78,193.00,1,4,1,Real Estate,8,14.89,17.02,17.02,17.02,14.89,19.15,7,9,8,9,8,,,,,,1,8.00,8.00,9.00,8.00,9.00,7.00,7.00,6.00,1,2.00,16.67,16.67,16.67,18.75,12.50,18.75,7.00,9.00,9.00,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,1,6,133,0,-0.15,24,4,12.77,19.15,17.02,17.02,14.89,19.15,0,7.00,7.00,7.00,8.00,6.00,8.00,7.00,7.00,2,26,Business,8.00,,4,1,78,193.00,1,4,1,Real Estate,8,14.89,17.02,17.02,17.02,14.89,19.15,7,9,8,9,8,,,,,,0,6.00,10.00,10.00,6.00,7.00,5.00,7.00,6.00,2,2.00,16.67,16.67,16.67,18.75,12.50,18.75,7.00,9.00,9.00,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,1,6,134,1,-0.10,23,2,6.67,20.00,20.00,17.78,20.00,15.56,1,8.00,9.00,7.00,9.00,10.00,8.00,9.00,6.00,2,26,Business,8.00,,4,1,78,193.00,1,4,1,Real Estate,8,14.89,17.02,17.02,17.02,14.89,19.15,7,9,8,9,8,,,,,,1,9.00,9.00,9.00,8.00,8.00,7.00,9.00,6.00,2,2.00,16.67,16.67,16.67,18.75,12.50,18.75,7.00,9.00,9.00,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,1,6,135,0,-0.10,26,2,18.18,22.73,18.18,13.64,13.64,13.64,0,8.00,5.00,,,,5.00,6.00,6.00,2,26,Business,8.00,,4,1,78,193.00,1,4,1,Real Estate,8,14.89,17.02,17.02,17.02,14.89,19.15,7,9,8,9,8,,,,,,1,7.00,8.00,8.00,7.00,7.00,6.00,7.00,6.00,2,2.00,16.67,16.67,16.67,18.75,12.50,18.75,7.00,9.00,9.00,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,1,6,136,0,,,,,,,,,,0,8.00,8.00,8.00,8.00,8.00,8.00,8.00,1.00,2,26,Business,8.00,,4,1,78,193.00,1,4,1,Real Estate,8,14.89,17.02,17.02,17.02,14.89,19.15,7,9,8,9,8,,,,,,1,6.00,8.00,9.00,7.00,9.00,6.00,8.00,6.00,2,2.00,16.67,16.67,16.67,18.75,12.50,18.75,7.00,9.00,9.00,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2,1,6,132,0,0.34,27,2,16.67,16.67,16.67,16.67,16.67,16.67,0,8.00,8.00,8.00,8.00,8.00,8.00,8.00,5.00,2,32,MBA,8.00,,2,9,63,351.00,1,3,2,investment banking,7,18.37,18.37,16.33,16.33,16.33,14.29,8,8,8,8,8,,,,,,1,8.00,7.00,4.00,6.00,6.00,4.00,8.00,6.00,2,3.00,19.57,19.57,19.57,19.57,8.70,13.04,8.00,8.00,8.00,8,9,4,,,,,,,19.57,17.39,19.57,19.57,13.04,10.87,9,8,9,9,6,5,17.31,17.31,17.31,17.31,17.31,13.46,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2,1,6,133,0,-0.51,24,4,12.77,19.15,17.02,17.02,14.89,19.15,0,7.00,6.00,8.00,7.00,8.00,6.00,6.00,5.00,2,32,MBA,8.00,,2,9,63,351.00,1,3,2,investment banking,7,18.37,18.37,16.33,16.33,16.33,14.29,8,8,8,8,8,,,,,,0,3.00,8.00,8.00,9.00,8.00,1.00,1.00,1.00,2,3.00,19.57,19.57,19.57,19.57,8.70,13.04,8.00,8.00,8.00,8,9,4,,,,,,,19.57,17.39,19.57,19.57,13.04,10.87,9,8,9,9,6,5,17.31,17.31,17.31,17.31,17.31,13.46,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2,1,6,134,0,-0.06,23,2,6.67,20.00,20.00,17.78,20.00,15.56,1,7.00,8.00,9.00,8.00,7.00,8.00,7.00,5.00,2,32,MBA,8.00,,2,9,63,351.00,1,3,2,investment banking,7,18.37,18.37,16.33,16.33,16.33,14.29,8,8,8,8,8,,,,,,0,3.00,8.00,8.00,2.00,7.00,1.00,1.00,8.00,2,3.00,19.57,19.57,19.57,19.57,8.70,13.04,8.00,8.00,8.00,8,9,4,,,,,,,19.57,17.39,19.57,19.57,13.04,10.87,9,8,9,9,6,5,17.31,17.31,17.31,17.31,17.31,13.46,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2,1,6,135,0,-0.30,26,2,18.18,22.73,18.18,13.64,13.64,13.64,1,8.00,8.00,8.00,,,2.00,7.00,6.00,2,32,MBA,8.00,,2,9,63,351.00,1,3,2,investment banking,7,18.37,18.37,16.33,16.33,16.33,14.29,8,8,8,8,8,,,,,,0,4.00,6.00,6.00,1.00,7.00,1.00,1.00,8.00,2,3.00,19.57,19.57,19.57,19.57,8.70,13.04,8.00,8.00,8.00,8,9,4,,,,,,,19.57,17.39,19.57,19.57,13.04,10.87,9,8,9,9,6,5,17.31,17.31,17.31,17.31,17.31,13.46,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2,1,6,136,1,,,,,,,,,,1,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,1,32,MBA,8.00,,2,9,63,351.00,1,3,2,investment banking,7,18.37,18.37,16.33,16.33,16.33,14.29,8,8,8,8,8,,,,,,1,7.00,8.00,10.00,9.00,9.00,8.00,9.00,9.00,,3.00,19.57,19.57,19.57,19.57,8.70,13.04,8.00,8.00,8.00,8,9,4,,,,,,,19.57,17.39,19.57,19.57,13.04,10.87,9,8,9,9,6,5,17.31,17.31,17.31,17.31,17.31,13.46,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,4,1,6,132,0,0.52,27,2,16.67,16.67,16.67,16.67,16.67,16.67,0,5.00,7.00,9.00,5.00,9.00,5.00,5.00,5.00,2,37,engineering,5.00,,4,6,,1,6,3,engineering professional,8,19.61,19.61,15.69,19.61,11.76,13.73,8,8,9,9,6,,,,,,1,8.00,,8.00,8.00,7.00,,8.00,6.00,2,2.00,23.81,23.81,14.29,23.81,2.38,11.90,8.00,10.00,10.00,10,7,7,,,,,,,21.43,21.43,14.29,21.43,9.52,11.90,10,9,6,7,2,7,19.61,19.61,17.65,17.65,11.76,13.73,8,9,9,9,7,,,,,0,18.60,18.60,20.93,20.93,6.98,13.95,,,,,,,9,9,9,9,7,8,8,8,8,8,4,,8,8,8,8,5,,,,,
